,0
0,1
1,36
2,42
3,60
4,62
5,63
6,66
7,68
8,69
9,70
10,71
11,84
12,86
13,88
14,93
15,98
16,102
17,109
18,110
19,111
20,114
21,118
22,119
23,130
24,131
25,132
26,133
27,134
28,135
29,138
30,142
31,143
32,147
33,156
34,158
35,159
36,162
37,165
38,168
39,169
40,171
41,172
42,178
43,179
44,180
45,181
46,183
47,187
48,189
49,192
50,193
51,194
52,195
53,196
54,198
55,202
56,203
57,204
58,207
59,208
60,209
61,212
62,213
63,214
64,215
65,218
66,219
67,220
68,221
69,223
70,224
71,225
72,226
73,227
74,228
75,229
76,230
77,231
78,233
79,234
80,235
81,238
82,242
83,244
84,245
85,246
86,248
87,249
88,250
89,251
90,252
91,254
92,255
93,256
94,257
95,258
96,259
97,260
98,261
99,263
100,265
101,267
102,269
103,270
104,271
105,272
106,273
107,274
108,275
109,276
110,277
111,278
112,279
113,281
114,283
115,286
116,287
117,291
118,292
119,293
120,294
121,296
122,297
123,298
124,299
125,300
126,303
127,304
128,305
129,306
130,308
131,310
132,311
133,312
134,313
135,314
136,317
137,318
138,319
139,321
140,322
141,324
142,326
143,328
144,330
145,331
146,332
147,333
148,334
149,336
150,337
151,339
152,340
153,341
154,342
155,343
156,344
157,345
158,346
159,347
160,348
161,349
162,350
163,351
164,352
165,353
166,354
167,355
168,356
169,357
170,358
171,359
172,360
173,361
174,362
175,363
176,364
177,365
178,366
179,367
180,368
181,369
182,370
183,371
184,372
185,373
186,374
187,375
188,376
189,377
190,378
191,379
192,380
193,381
194,382
195,383
196,384
197,385
198,386
199,387
