,0
0,6
1,10
2,12
3,27
4,33
5,40
6,44
7,45
8,46
9,64
10,66
11,69
12,71
13,82
14,86
15,88
16,90
17,92
18,94
19,95
20,96
21,107
22,110
23,112
24,115
25,116
26,117
27,118
28,120
29,121
30,124
31,125
32,128
33,131
34,132
35,135
36,137
37,141
38,143
39,144
40,146
41,148
42,149
43,150
44,151
45,155
46,157
47,160
48,164
49,168
50,172
51,175
52,176
53,181
54,183
55,189
56,190
57,191
58,197
59,198
60,199
61,201
62,203
63,206
64,208
65,209
66,210
67,212
68,213
69,215
70,217
71,221
72,223
73,224
74,225
75,226
76,227
77,228
78,231
79,232
80,233
81,234
82,235
83,237
84,238
85,239
86,241
87,243
88,244
89,245
90,246
91,247
92,248
93,249
94,250
95,251
96,252
97,255
98,258
99,259
100,261
101,262
102,264
103,266
104,269
105,270
106,271
107,272
108,273
109,275
110,276
111,279
112,280
113,281
114,284
115,285
116,287
117,288
118,289
119,290
120,291
121,293
122,294
123,296
124,297
125,298
126,299
127,301
128,303
129,304
130,305
131,307
132,308
133,309
134,310
135,312
136,313
137,314
138,315
139,316
140,317
141,318
142,319
143,320
144,321
145,322
146,323
147,324
148,325
149,326
150,327
151,328
152,330
153,331
154,332
155,333
156,337
157,340
158,341
159,342
160,343
161,344
162,345
163,346
164,347
165,349
166,350
167,351
168,352
169,353
170,354
171,355
172,356
173,357
174,358
175,360
176,361
177,363
178,364
179,365
180,366
181,367
182,368
183,369
184,370
185,371
186,372
187,373
188,374
189,375
190,376
191,377
192,378
193,379
194,380
195,381
196,382
197,383
198,384
199,385
200,386
201,387
202,388
203,389
204,390
205,391
206,392
207,393
208,394
209,395
210,396
211,397
212,398
213,399
214,400
215,401
216,402
217,403
218,404
219,405
220,406
221,407
222,408
