,0
0,1
1,11
2,26
3,45
4,48
5,54
6,60
7,65
8,68
9,69
10,77
11,78
12,80
13,81
14,82
15,91
16,93
17,95
18,102
19,109
20,110
21,111
22,112
23,116
24,118
25,126
26,127
27,128
28,130
29,132
30,134
31,136
32,137
33,139
34,141
35,150
36,151
37,152
38,155
39,166
40,167
41,175
42,177
43,178
44,179
45,181
46,184
47,186
48,187
49,188
50,189
51,196
52,197
53,198
54,199
55,203
56,206
57,207
58,211
59,214
60,217
61,218
62,221
63,228
64,229
65,231
66,233
67,234
68,235
69,236
70,237
71,238
72,239
73,241
74,242
75,244
76,245
77,246
78,247
79,253
80,254
81,256
82,258
83,259
84,260
85,261
86,263
87,264
88,265
89,266
90,268
91,269
92,270
93,271
94,272
95,274
96,275
97,278
98,280
99,281
100,282
101,283
102,284
103,285
104,286
105,288
106,290
107,291
108,293
109,294
110,295
111,297
112,298
113,299
114,302
115,303
116,305
117,306
118,307
119,308
120,309
121,311
122,312
123,313
124,315
125,317
126,319
127,320
128,324
129,325
130,326
131,327
132,328
133,330
134,331
135,332
136,333
137,335
138,336
139,337
140,338
141,339
142,341
143,343
144,345
145,346
146,347
147,348
148,349
149,350
150,351
151,352
152,353
153,354
154,355
155,356
156,357
157,358
158,360
159,361
160,362
161,363
162,365
163,366
164,367
165,368
166,369
167,370
168,371
169,372
170,373
171,375
172,376
173,377
174,378
175,379
176,380
177,381
178,382
179,383
180,384
181,386
182,387
183,388
184,389
185,390
186,391
187,392
188,393
189,394
190,395
191,396
192,397
193,398
194,399
195,400
