,0
0,4
1,25
2,26
3,31
4,35
5,37
6,38
7,39
8,41
9,42
10,43
11,49
12,54
13,70
14,71
15,72
16,74
17,79
18,89
19,91
20,92
21,93
22,95
23,98
24,100
25,101
26,102
27,105
28,107
29,115
30,116
31,121
32,122
33,124
34,125
35,127
36,128
37,132
38,135
39,140
40,141
41,144
42,146
43,150
44,151
45,152
46,157
47,158
48,161
49,163
50,164
51,165
52,168
53,170
54,173
55,174
56,180
57,182
58,183
59,184
60,187
61,188
62,189
63,190
64,193
65,194
66,195
67,198
68,199
69,201
70,204
71,206
72,208
73,211
74,213
75,218
76,223
77,226
78,228
79,229
80,230
81,231
82,232
83,233
84,234
85,236
86,239
87,240
88,241
89,243
90,245
91,246
92,247
93,248
94,250
95,251
96,252
97,253
98,255
99,256
100,257
101,258
102,259
103,260
104,263
105,264
106,265
107,266
108,267
109,268
110,269
111,270
112,271
113,273
114,274
115,277
116,278
117,279
118,280
119,281
120,282
121,284
122,286
123,287
124,288
125,289
126,290
127,291
128,292
129,293
130,294
131,295
132,296
133,297
134,299
135,300
136,301
137,302
138,304
139,305
140,306
141,307
142,309
143,310
144,311
145,312
146,313
147,315
148,316
149,317
150,318
151,319
152,320
153,321
154,322
155,324
156,325
157,326
158,328
159,330
160,331
161,332
162,333
163,334
164,335
165,336
166,337
167,338
168,339
169,340
170,341
171,342
172,343
173,344
174,345
175,346
176,347
177,348
178,349
179,350
180,351
181,352
182,353
183,354
184,355
185,356
186,357
187,358
188,359
189,360
190,361
191,362
192,363
193,364
194,365
