,0
0,0
1,1
2,24
3,25
4,31
5,32
6,37
7,53
8,59
9,71
10,75
11,78
12,80
13,86
14,91
15,100
16,103
17,107
18,108
19,109
20,111
21,112
22,113
23,114
24,115
25,116
26,117
27,125
28,128
29,132
30,134
31,140
32,144
33,150
34,152
35,153
36,154
37,155
38,156
39,159
40,161
41,162
42,163
43,165
44,171
45,176
46,177
47,178
48,186
49,192
50,193
51,195
52,196
53,198
54,199
55,200
56,201
57,202
58,203
59,205
60,206
61,207
62,208
63,209
64,210
65,216
66,217
67,218
68,222
69,223
70,224
71,225
72,226
73,227
74,228
75,230
76,234
77,235
78,236
79,237
80,238
81,239
82,240
83,241
84,242
85,243
86,244
87,245
88,247
89,248
90,249
91,250
92,251
93,253
94,254
95,255
96,256
97,258
98,259
99,260
100,263
101,265
102,266
103,267
104,268
105,269
106,270
107,271
108,272
109,273
110,274
111,276
112,277
113,278
114,279
115,280
116,282
117,283
118,284
119,285
120,286
121,288
122,289
123,290
124,291
125,292
126,294
127,295
128,296
129,297
130,298
131,299
132,300
133,301
134,304
135,305
136,306
137,307
138,308
139,309
140,310
141,311
142,313
143,314
144,315
145,316
146,317
147,318
148,319
149,320
150,321
151,322
152,323
153,325
154,326
155,327
156,328
157,329
158,330
159,331
160,332
161,333
162,334
163,335
164,337
165,338
166,339
167,340
168,341
169,342
170,344
171,345
172,346
173,347
174,348
175,349
176,350
177,351
178,352
179,353
180,354
181,355
182,356
183,357
184,358
185,359
186,360
187,361
188,362
